,企业实力,盈利能力,供销关系,经营稳定性,发展潜力
E69,3994705.679999998,3991455.679999998,0.06818181818181818,0.959114139693356,8.243076367825665
E70,11886271.920000006,5796929.979999988,0.23269841269841268,0.9100346020761245,-0.37903454196665104
E71,12096797.569999997,2091917.6799999983,0.16922973246175615,0.9653333333333334,-0.6967209196498623
E72,4509710.750000001,2962695.980000001,0.13619047619047617,0.9879032258064516,-0.10355988069902546
E73,7296711.719999999,6440756.180000001,0.2426086956521739,0.9661016949152542,-0.15280994918586271
E74,4230122.999999998,3892807.999999998,0.19999999999999998,0.9819819819819819,0.43179291898805894
E75,7120556.659999998,4399132.409999998,0.2445271881991421,0.9742345465049105,-0.09177254961705694
E76,4419447.800000001,3490131.1900000004,0.22873134328358208,0.9755102040816327,0.06381513557196325
E77,4567007.99,3759126.99,0.29,0.9728682170542635,-0.5496786865132729
E78,10648470.650000002,6899502.030000003,0.265,0.9738805970149254,-0.7574752226789551
E79,3854546.09,536513.5099999981,0.327027027027027,1.0,0.10108297873682145
E80,3877455.520000001,1276770.7000000014,0.13854166666666665,1.0,6.085979524719361
E81,4035501.4700000007,1780076.9400000013,0.2962384953981593,0.9676425269645609,-0.05865632959043348
E82,3371317.209999999,1677340.4899999988,0.3053571428571428,0.967930029154519,-0.29743656890726694
E83,3690189.43,-33880595.55000003,0.25178098322048864,0.9844192634560907,-0.9636627308557276
E84,6438035.789999984,4779285.739999984,0.35480769230769227,0.9939759036144579,0.06488847458682762
E85,3121310.1999999997,2689098.78,0.3277777777777778,1.0,-0.2423945164139603
E86,4329051.16,2587282.7800000003,0.16285714285714284,1.0,2.890660853800041
E87,4362866.650000001,2656592.7300000014,0.3130281690140845,0.9594594594594594,-0.4309787052426669
E88,2998419.9300000016,2314961.470000001,0.15304347826086956,1.0,0.515499676876031
E89,2283146.16,-435274.52999999985,0.3487179487179487,1.0,-0.1504866606108819
E90,4833004.159999998,4075215.5899999985,0.12413793103448276,1.0,2.0915201624435587
E91,2830731.4,1336785.75,0.2281045751633987,0.9922480620155039,0.5254635841240143
E92,2329840.0,2170447.5900000003,0.09506172839506172,0.9487179487179487,27.11842105263158
E93,1579937.0,1277022.1700000009,0.28854489164086683,0.9932432432432432,-0.012109492340042055
E94,1207613.49,1191267.49,0.0,0.9948979591836735,0.020288337077251344
E95,2385496.4499999997,2384358.4499999997,0.7218181818181818,0.9419496166484118,-0.49819774607280154
E96,1392500.0,-1042969.96,0.175,0.9,7.4727891156462585
E97,944544.9,924664.9,0.41774193548387095,0.946969696969697,1.7961623660677801
E98,1472220.6,1262937.6200000003,0.09649122807017542,0.7973856209150327,2.6149910017787583
E99,1401062.66,-3134998.939999997,0.1717948717948718,0.875,-0.43389110622055893
E100,653762.55,630439.53,0.26666666666666666,0.9090909090909091,0.9703165249358229
E101,614546.8799999999,561388.8799999999,0.2333333333333333,0.8253968253968254,-0.9014430987001943
E102,352517.1099999999,-3305799.9700000035,0.3561044003451251,0.8022598870056498,-0.45362535677546517
E103,2024738.7400000002,1286473.1300000008,0.10969696969696968,0.90625,0.6612678675278353
E104,280530.0,280250.0,0.0,0.9523809523809523,1.4169305724725945
E105,866550.76,858070.76,0.2333333333333333,0.860655737704918,-0.5445443085384094
E106,594862.86,542401.76,0.12850877192982454,0.9084967320261438,0.41938152476349466
E107,927750.0,816840.0,0.21499999999999997,0.9444444444444444,3.636080870917574
E108,193014.26,86791.31000000001,0.16982097186700765,0.9393939393939394,-0.5417727077189526
E109,602443.0,599072.0,0.01875,0.9696969696969697,7.509752365352702
E110,249290.67,248250.67,0.7281249999999999,0.891566265060241,-0.6641291269059204
E111,1556450.2000000002,1027176.1899999981,0.3290730337078651,0.98,-0.8984385118616663
E112,1401285.03,481039.13999999996,0.15,0.8636363636363636,-1.0
E113,298800.0,-1058780.73,0.184,0.723404255319149,-0.8850746268656716
E114,151524.64,-492792.36,0.2058333333333333,0.5733333333333334,-0.33953164949046427
E115,108200.0,107640.0,0.0,1.0,8.607843137254902
E116,260405.32,257599.07,0.0,0.9574468085106383,-0.9894511456181441
E117,675200.0,668080.0,0.0,0.9090909090909091,-1.0
E118,322453.19999999995,254740.40999999997,0.0037037037037037034,0.9861111111111112,-0.8497665031278484
E119,37242.0,-212492.8299999999,0.41619047619047617,1.0,1.6726161369193153
E120,156721.41999999998,137275.08,0.13999999999999999,0.8620689655172413,0.025842105263157895
E121,102871.22000000006,-1148248.6600000001,0.19999999999999998,0.8924731182795699,-1.0
E122,59216.63999999999,5470.379999999994,0.03888888888888888,0.7711864406779662,-0.6444363056817718
E123,254478.20000000004,253638.20000000004,0.82,0.9538461538461539,-0.653803234834039
