供应商ID,年平均订货量,年平均供货量,供货稳定性系数,订单满足率,交易频率,订单增长系数
S031,8110.8,8241.4,84.25123263888888,1.0161019874734922,0.9958333333333333,105.2
S032,19.4,14.2,0.20493055555555556,0.7319587628865979,0.008333333333333333,1.8
S033,5.6,6.0,0.033263888888888885,1.0714285714285714,0.0,-0.3
S034,341.2,6.0,1284.2080555555565,0.017584994138335287,0.008333333333333333,-302.4
S035,45.2,28.8,3.433263888888888,0.6371681415929203,0.03333333333333333,-6.4
S036,20.0,24.8,0.14833333333333332,1.24,0.008333333333333333,-1.3
S037,13535.4,10137.2,300041.05414930556,0.7489398170722698,0.43333333333333335,1705.6
S038,18.8,7.2,0.2415972222222222,0.3829787234042553,0.0,-2.4
S039,189.0,77.0,461.7555555555556,0.4074074074074074,0.0375,-151.4
S040,6472.0,6381.0,1477.8099826388893,0.9859394313967862,1.0,-184.0
S041,40.6,14.2,22.939166666666654,0.3497536945812808,0.008333333333333333,-20.4
S042,60.4,27.6,29.34972222222222,0.45695364238410596,0.025,-35.9
S043,69.8,7.8,99.17326388888885,0.11174785100286533,0.0,-44.3
S044,5.4,6.0,0.04567708333333333,1.1111111111111112,0.0,-2.7
S045,29.4,6.2,5.041388888888887,0.2108843537414966,0.004166666666666667,-14.3
S046,44.4,39.4,0.3433159722222224,0.8873873873873874,0.0,1.4
S047,1768.0,13.2,77990.48826388888,0.00746606334841629,0.008333333333333333,1741.9
S048,18.6,13.0,1.0947222222222226,0.6989247311827957,0.0125,-1.6
S049,10.6,7.6,0.13359375,0.7169811320754716,0.0,-0.4
S050,10.2,13.2,0.08359375,1.2941176470588236,0.004166666666666667,0.8
S051,633.6,5.8,9849.98123263889,0.009154040404040404,0.0,460.6
S052,12.6,10.8,0.13609375000000007,0.8571428571428571,0.0,0.2
S053,12.0,15.4,0.06581597222222221,1.2833333333333334,0.0125,-0.3
S054,100.0,82.6,25.372760416666676,0.826,0.09166666666666666,-35.3
S055,6431.0,4808.2,40500.71326388889,0.747659772974654,1.0,23.5
S056,11.0,5.6,0.13317708333333333,0.509090909090909,0.0,0.4
S057,24.2,10.0,5.216649305555558,0.4132231404958678,0.004166666666666667,-8.7
S058,71.4,6.8,302.2095659722224,0.09523809523809523,0.0,26.8
S059,158.8,9.4,392.8581770833333,0.05919395465994962,0.0,-69.0
S060,17.8,17.2,0.17901041666666664,0.9662921348314607,0.0375,-1.9
S061,267.2,16.8,1029.5447222222224,0.06287425149700598,0.008333333333333333,-201.8
S062,15.2,15.0,0.32914930555555555,0.9868421052631579,0.0125,1.3
S063,188.8,6.0,1324.3299305555556,0.03177966101694915,0.0,108.0
S064,2501.8,79.4,152536.89055555558,0.03173714925253817,0.05416666666666667,1503.6
S065,43.2,37.8,1.6081770833333333,0.875,0.041666666666666664,-3.4
S066,188.2,77.6,872.2783159722222,0.412327311370882,0.029166666666666667,45.6
S067,36.4,46.6,0.18401041666666662,1.2802197802197801,0.0,0.4
S068,57.6,8.4,33.27437500000001,0.14583333333333334,0.004166666666666667,-35.1
S069,74.6,33.8,37.46083333333332,0.45308310991957107,0.03333333333333333,-34.6
S070,18.6,9.2,10.457482638888893,0.4946236559139785,0.004166666666666667,-10.4
S071,65.6,38.2,9.119982638888887,0.5823170731707317,0.041666666666666664,-7.8
S072,21.0,5.6,10.542899305555554,0.26666666666666666,0.0,-12.7
S073,6.2,6.4,0.054149305555555555,1.032258064516129,0.004166666666666667,-0.5
S074,6527.6,2610.2,78022.86234374999,0.399871315644341,0.4375,-3037.7
S075,65.8,78.0,0.8062326388888889,1.1854103343465046,0.041666666666666664,3.9
S076,55.2,75.2,0.3847222222222222,1.3623188405797102,0.0,2.6
S077,53.2,25.6,21.194374999999997,0.48120300751879697,0.0125,-7.9
S078,2027.4,1710.6,2671.348333333333,0.8437407517016869,0.4,-618.0
S079,54.2,12.8,38.743593749999974,0.23616236162361623,0.0125,-33.5
S080,3776.0,3847.4,145.50817708333335,1.0189088983050847,1.0,-65.0
S081,9.6,9.8,0.11248263888888885,1.0208333333333333,0.004166666666666667,0.8
S082,20.0,11.6,0.22770833333333335,0.58,0.008333333333333333,-0.8
S083,440.0,5.6,6404.022500000002,0.012727272727272728,0.004166666666666667,212.8
S084,110.0,14.0,391.21666666666664,0.12727272727272726,0.0125,35.9
S085,20.0,9.2,1.9327083333333341,0.46,0.008333333333333333,-5.3
S086,6027.0,3589.8,53116.38270833332,0.5956197112991538,0.30416666666666664,194.6
S087,17.2,12.8,2.499930555555554,0.7441860465116279,0.008333333333333333,-5.2
S088,114.8,85.0,53.94373263888887,0.740418118466899,0.07083333333333333,-48.7
S089,51.0,28.2,26.84104166666667,0.5529411764705883,0.03333333333333333,-31.8
S090,49.0,29.0,58.551388888888894,0.5918367346938775,0.025,-28.8
S091,25.2,14.6,8.55539930555555,0.5793650793650794,0.0125,-5.5
S092,64.4,79.6,0.3413888888888889,1.236024844720497,0.05416666666666667,2.1
S093,242.8,7.2,1331.3749305555546,0.029654036243822075,0.004166666666666667,103.5
S094,48.6,8.2,134.44159722222227,0.16872427983539096,0.0,18.2
S095,21.8,6.4,2.3762326388888906,0.29357798165137616,0.008333333333333333,-8.0
S096,3661.2,14.6,193596.35331597223,0.003987763574784224,0.008333333333333333,737.6
S097,3176.0,12.6,99144.01164930552,0.003967254408060453,0.0125,1950.6
S098,66.6,82.6,1.4638888888888897,1.2402402402402402,0.016666666666666666,-6.9
S099,282.6,12.0,3770.4310937499995,0.04246284501061571,0.004166666666666667,129.7
S100,294.0,8.4,2254.630833333333,0.02857142857142857,0.008333333333333333,137.7
S101,158.0,11.2,649.9632638888888,0.07088607594936709,0.008333333333333333,23.4
S102,123.8,26.2,185.03222222222215,0.21163166397415187,0.016666666666666666,-92.0
S103,506.2,6.0,6021.485399305557,0.011853022520742789,0.004166666666666667,230.7
S104,93.0,31.0,59.40659722222221,0.3333333333333333,0.020833333333333332,-57.1
S105,35.4,24.0,7.064427083333334,0.6779661016949152,0.025,-1.7
S106,12.2,15.4,0.08722222222222223,1.2622950819672132,0.004166666666666667,-0.4
S107,298.2,13.8,2702.802708333333,0.04627766599597585,0.004166666666666667,128.2
S108,54289.0,48190.0,786539.45859375,0.887656799720017,1.0,1767.0
S109,26.0,7.2,8.879930555555552,0.27692307692307694,0.0,-13.7
S110,84.8,85.2,4.824930555555553,1.0047169811320755,0.07083333333333333,-10.9
S111,212.0,6.2,2066.00484375,0.029245283018867925,0.004166666666666667,47.0
S112,37.8,24.6,19.016041666666688,0.6507936507936508,0.0125,-13.2
S113,62.2,77.0,0.3215972222222222,1.2379421221864952,0.07083333333333333,-3.4
S114,2916.6,2186.2,10030.811388888887,0.7495714187752863,0.475,-411.2
S115,158.2,79.6,295.62276041666667,0.5031605562579013,0.05,-86.7
S116,17.4,15.0,1.0641666666666663,0.8620689655172413,0.016666666666666666,-1.8
S117,664.2,24.6,6753.444375,0.037037037037037035,0.029166666666666667,369.0
S118,375.6,13.2,1428.6225000000002,0.03514376996805112,0.008333333333333333,-297.0
S119,17.6,5.8,4.010399305555556,0.32954545454545453,0.004166666666666667,-3.4
S120,8.8,6.6,0.11039930555555559,0.75,0.0,-0.5
S121,36.8,27.4,5.75748263888889,0.7445652173913043,0.025,-15.4
S122,13.8,14.6,0.14972222222222223,1.0579710144927537,0.004166666666666667,0.2
S123,1222.0,1289.8,80.20901041666666,1.0554828150572833,0.9958333333333333,-4.4
S124,12.6,6.8,1.756232638888888,0.5396825396825397,0.004166666666666667,-5.2
S125,47.0,9.8,30.874375000000004,0.20851063829787234,0.0125,-27.4
S126,26457.0,9508.0,4306226.034982638,0.35937559058094265,0.3125,5345.6
S127,97.2,31.6,425.50722222222225,0.32510288065843623,0.029166666666666667,23.5
S128,25.2,26.6,0.45331597222222225,1.0555555555555556,0.025,1.8
S129,481.2,305.0,474.0208159722222,0.6338320864505403,0.11666666666666667,-144.0
S130,68.2,12.0,32.683315972222225,0.17595307917888564,0.004166666666666667,-40.7
S131,27876.2,27502.4,4767.96734375,0.9865907117899857,0.9958333333333333,2013.8
S132,15.0,12.6,0.13916666666666663,0.84,0.008333333333333333,1.5
S133,12.2,14.2,0.09826388888888893,1.1639344262295082,0.008333333333333333,-0.1
S134,103.0,10.4,766.9408159722226,0.10097087378640776,0.008333333333333333,-0.1
S135,16.2,17.4,0.7160416666666667,1.0740740740740742,0.0125,5.2
S136,171.4,8.4,1321.939149305556,0.049008168028004666,0.004166666666666667,79.5
S137,1073.4,6.6,15339.432708333334,0.006148686416992733,0.0,387.9
S138,537.2,82.2,7545.974565972223,0.1530156366344006,0.020833333333333332,291.4
S139,35549.6,30372.4,922463.0965972223,0.8543668564484551,0.8083333333333333,875.8
S140,96220.6,60409.4,12720080.02888889,0.6278219009235029,0.4583333333333333,10868.1
S141,68.4,84.0,0.38604166666666667,1.2280701754385965,0.06666666666666667,8.0
S142,47.6,24.2,17.32484375000001,0.5084033613445378,0.025,-14.1
S143,18914.0,16557.4,89108.49498263889,0.8754044623030559,1.0,-367.0
S144,12.6,5.6,1.7162326388888878,0.4444444444444444,0.008333333333333333,1.0
S145,510.6,12.6,6236.334375,0.024676850763807285,0.008333333333333333,301.0
S146,159.2,70.4,142.74416666666667,0.44221105527638194,0.0125,-56.6
S147,31.6,21.6,10.639930555555557,0.6835443037974683,0.008333333333333333,-12.5
S148,205.6,11.8,432.3360937500001,0.057392996108949414,0.004166666666666667,-151.6
S149,41.0,50.2,0.24659722222222227,1.224390243902439,0.05,-1.9
S150,1097.6,361.2,7671.083263888889,0.32908163265306123,0.4166666666666667,-513.0
S151,53302.0,38899.6,5266295.9975000005,0.7297962552999887,1.0,-7110.0
S152,72.2,79.6,0.6887326388888888,1.1024930747922437,0.05,-3.2
S153,532.2,35.0,2121.3549305555557,0.06576475009394964,0.004166666666666667,-169.3
S154,2044.8,1526.8,5145.873263888888,0.7466744913928013,0.26666666666666666,1108.3
S155,82.8,8.0,89.97993055555551,0.0966183574879227,0.008333333333333333,-49.5
S156,51.8,5.6,165.91109375,0.10810810810810811,0.0,17.8
S157,6656.8,79.0,393344.2610937501,0.011867563994712175,0.05416666666666667,2631.2
S158,2031.0,7.4,59014.48326388888,0.0036435253569670114,0.0,1278.4
S159,50.6,43.0,4.449930555555554,0.849802371541502,0.03333333333333333,-14.6
S160,12537.6,9.0,1047469.6290104168,0.0007178407350689127,0.004166666666666667,4367.4
S161,4990.0,9.4,141469.68109375,0.0018837675350701403,0.008333333333333333,2115.4
S162,198.0,5.6,335.9499305555556,0.028282828282828285,0.0,-139.6
S163,163.0,50.4,257.5762326388889,0.30920245398773005,0.04583333333333333,-90.0
S164,176.8,14.4,344.244722222222,0.08144796380090498,0.0125,-141.3
S165,132.2,15.0,214.2049305555555,0.11346444780635401,0.0,-76.8
S166,28.8,6.4,30.065555555555555,0.2222222222222222,0.004166666666666667,-0.6
S167,45.0,27.2,8.099982638888891,0.6044444444444445,0.025,-17.2
S168,317.4,6.2,2359.133055555555,0.019533711405166982,0.0,144.1
S169,53.4,71.8,0.28638888888888886,1.344569288389513,0.03333333333333333,2.1
S170,67.6,27.0,81.83873263888887,0.3994082840236686,0.025,-45.2
S171,20.0,14.4,0.35305555555555557,0.72,0.008333333333333333,0.9
S172,58.2,71.2,0.7224826388888886,1.2233676975945018,0.03333333333333333,-5.0
S173,368.0,74.4,1328.6197222222224,0.20217391304347826,0.025,-163.2
S174,50.6,69.2,0.2540104166666667,1.3675889328063242,0.03333333333333333,-0.5
S175,54.4,73.2,0.27993055555555557,1.3455882352941178,0.0375,-1.5
S176,77.8,10.2,123.17493055555556,0.13110539845758354,0.0,-40.3
S177,29.0,9.4,10.5332638888889,0.32413793103448274,0.004166666666666667,-8.9
S178,24.4,32.6,0.1916493055555555,1.3360655737704918,0.029166666666666667,7.6
S179,126.2,6.2,185.96666666666667,0.0491283676703645,0.004166666666666667,-92.9
S180,12.2,10.4,0.036093750000000015,0.8524590163934426,0.0,-0.7
S181,116.0,7.2,526.5038888888888,0.06206896551724138,0.004166666666666667,-2.1
S182,39.8,30.6,8.229930555555558,0.7688442211055276,0.029166666666666667,-18.6
S183,1758.8,5.6,27506.39937500001,0.0031839890834659997,0.004166666666666667,851.3
S184,117.4,14.6,1037.5049305555556,0.12436115843270869,0.016666666666666666,0.7
S185,99.6,12.8,611.4382638888886,0.1285140562248996,0.004166666666666667,-38.4
S186,516.6,75.4,5252.796597222224,0.14595431668602402,0.05,331.7
S187,32.0,14.8,3.504930555555553,0.4625,0.008333333333333333,-5.0
S188,8.4,10.2,0.06109375000000002,1.2142857142857142,0.008333333333333333,-1.7
S189,1739.4,1778.4,119.61067708333333,1.0224215246636772,0.5916666666666667,-933.7
S190,15.0,9.6,1.9498437500000005,0.64,0.0125,-8.7
S191,935.2,70.2,13092.495399305559,0.07506415739948674,0.041666666666666664,497.1
S192,165.6,6.0,393.4527083333335,0.036231884057971016,0.0,-122.8
S193,16.8,20.2,0.1991493055555556,1.2023809523809523,0.025,6.4
S194,20276.0,20273.0,550.43359375,0.9998520418228447,1.0,-392.0
S195,301.6,7.2,1549.3072222222222,0.023872679045092837,0.004166666666666667,-231.3
S196,11.8,8.0,0.14789930555555555,0.6779661016949152,0.004166666666666667,0.8
S197,117.4,70.8,369.66164930555533,0.6030664395229983,0.03333333333333333,-1.7
S198,93.0,10.8,189.82151041666665,0.11612903225806452,0.008333333333333333,-38.7
S199,307.6,26.0,1989.3155555555545,0.08452535760728218,0.029166666666666667,185.1
S200,193.8,13.0,388.9788888888888,0.06707946336429309,0.008333333333333333,-150.2
S201,69739.8,16397.8,27177758.381597213,0.23512829116229184,0.11666666666666667,-7266.8
S202,230.4,80.0,1453.0322222222228,0.3472222222222222,0.0375,80.9
S203,6.8,7.2,0.04993055555555556,1.0588235294117647,0.0,-1.5
S204,23.8,16.2,4.158263888888886,0.680672268907563,0.016666666666666666,-1.1
S205,69.2,12.0,134.24659722222225,0.17341040462427745,0.0125,25.5
S206,4.6,6.2,0.040555555555555546,1.3478260869565217,0.0,-0.8
S207,111.2,30.8,84.76937500000001,0.27697841726618705,0.03333333333333333,-72.4
S208,2977.6,1751.4,12698.66456597222,0.5881918323481999,0.3541666666666667,-842.0
S209,55.0,32.6,15.348888888888895,0.5927272727272728,0.029166666666666667,-14.7
S210,6920.6,3138.8,73055.74234375001,0.4535444903621073,0.36666666666666664,-1081.8
S211,63.8,11.6,269.80484375,0.18181818181818182,0.0,26.0
S212,197.0,6.2,906.9577083333332,0.03147208121827411,0.0,105.0
S213,37.4,49.2,0.24373263888888885,1.3155080213903743,0.0,-0.4
S214,108.6,10.4,420.3853993055555,0.09576427255985268,0.0,40.2
S215,233.8,10.0,419.53192708333347,0.0427715996578272,0.0125,-161.6
S216,76.2,85.0,0.5747222222222222,1.1154855643044619,0.07083333333333333,-1.1
S217,38.6,27.8,3.516041666666667,0.7202072538860104,0.04583333333333333,-5.0
S218,2948.0,3096.6,61.603315972222234,1.0504070556309362,1.0,-39.0
S219,67.8,7.2,373.48526041666656,0.10619469026548672,0.0,29.4
S220,124.6,14.0,234.9949826388889,0.11235955056179775,0.008333333333333333,-87.1
S221,59.0,78.4,0.26581597222222214,1.3288135593220338,0.0625,0.2
S222,243.6,6.4,831.3049305555555,0.026272577996715927,0.0,-118.3
S223,48.8,5.6,165.97333333333322,0.11475409836065574,0.0,-0.5
S224,58.8,21.6,94.37437499999994,0.3673469387755102,0.0,-6.1
S225,5.6,6.4,0.041388888888888906,1.1428571428571428,0.004166666666666667,-2.4
S226,49.8,40.0,8.920815972222226,0.8032128514056225,0.03333333333333333,-17.8
S227,87.2,50.8,88.49159722222225,0.5825688073394495,0.0375,-38.2
S228,771.2,30.2,5955.937760416667,0.0391597510373444,0.029166666666666667,-250.6
S229,71977.0,70977.4,43575.35270833334,0.986112230295789,1.0,-3283.5
S230,317.2,10.4,3263.5965972222225,0.03278688524590164,0.0,100.6
S231,841.2,6.2,6859.005815972224,0.007370423204945316,0.0,478.8
S232,27.6,23.8,2.556232638888888,0.8623188405797102,0.025,-13.2
S233,44.2,35.8,2.9360416666666653,0.8099547511312217,0.0375,-10.1
S234,722.8,9.0,3793.745815972223,0.012451577199778638,0.0,-199.5
S235,61.6,37.8,40.42498263888885,0.6136363636363636,0.03333333333333333,-42.3
S236,6.4,5.6,0.0663888888888889,0.875,0.0,-0.5
S237,50.6,65.6,0.6481770833333333,1.2964426877470356,0.020833333333333332,4.8
S238,266.8,6.4,1195.169375,0.0239880059970015,0.008333333333333333,144.7
S239,104.8,86.0,158.71326388888895,0.8206106870229007,0.0375,16.5
S240,20.0,9.8,0.28401041666666665,0.49,0.0125,7.0
S241,134.0,5.6,743.0943749999999,0.041791044776119404,0.0,58.2
S242,120.4,15.8,266.2887326388888,0.13122923588039867,0.0125,-47.0
S243,26.0,12.6,0.6512326388888885,0.4846153846153846,0.008333333333333333,-0.9
S244,3400.2,3281.2,1625.199565972222,0.9650020587024293,1.0,-101.7
S245,115.2,77.2,67.25659722222223,0.6701388888888888,0.0125,-74.3
S246,2721.4,8.8,55579.999843749996,0.0032336297493936943,0.004166666666666667,1666.2
S247,11200.0,11339.6,59.866597222222225,1.0124642857142858,1.0,-121.0
S248,103.4,13.8,131.68222222222224,0.13346228239845262,0.004166666666666667,-72.6
S249,73.0,13.4,87.59159722222223,0.18356164383561643,0.008333333333333333,-38.8
S250,131.0,7.0,1600.2263888888888,0.05343511450381679,0.004166666666666667,-64.3
S251,417.4,7.2,4136.214565972221,0.017249640632486823,0.008333333333333333,299.9
S252,295.6,9.6,2693.8482638888895,0.03247631935047361,0.004166666666666667,231.3
S253,35.6,44.6,0.24401041666666667,1.252808988764045,0.05,7.8
S254,30.6,32.2,0.8155555555555555,1.0522875816993464,0.029166666666666667,-8.1
S255,9.6,7.2,0.11416666666666662,0.75,0.004166666666666667,-0.5
S256,74.8,82.2,1.7803993055555551,1.0989304812834224,0.09166666666666666,-7.7
S257,30.0,6.2,16.69998263888889,0.20666666666666667,0.008333333333333333,0.7
S258,123.2,82.8,234.88326388888882,0.672077922077922,0.05416666666666667,18.6
S259,31.6,13.4,26.685399305555553,0.4240506329113924,0.0125,-8.0
S260,115.8,36.8,660.9370659722223,0.3177892918825561,0.0,0.3
S261,259.8,13.8,987.6510416666666,0.053117782909930716,0.008333333333333333,-218.0
S262,167.6,5.6,303.8510416666667,0.03341288782816229,0.008333333333333333,-112.9
S263,94.4,85.4,19.67734375,0.9046610169491526,0.04583333333333333,-24.4
S264,5.8,6.4,0.2873437500000002,1.103448275862069,0.004166666666666667,-4.2
S265,115.6,28.2,164.6637326388889,0.24394463667820068,0.03333333333333333,-75.8
S266,1124.0,1303.8,25.539565972222224,1.159964412811388,1.0,-39.0
S267,141.0,16.4,750.8658159722222,0.11631205673758865,0.0,43.7
S268,25874.0,25957.2,162.07055555555556,1.0032155832109453,1.0,-200.0
S269,167.6,42.2,580.81234375,0.25178997613365156,0.004166666666666667,26.3
S270,18.2,18.4,0.07914930555555556,1.010989010989011,0.008333333333333333,-2.0
S271,64.2,49.4,19.21326388888889,0.7694704049844237,0.05416666666666667,-19.8
S272,65.6,6.4,373.5205555555556,0.0975609756097561,0.004166666666666667,-60.5
S273,2149.6,1896.8,3165.228888888889,0.8823967249720879,0.3416666666666667,1104.8
S274,35.8,15.4,41.63604166666668,0.4301675977653631,0.004166666666666667,-10.2
S275,31630.0,31710.6,186.32623263888888,1.0025482137211508,1.0,16.0
S276,146.0,10.4,740.2360416666666,0.07123287671232877,0.0125,79.1
S277,337.8,6.0,1200.0965104166667,0.017761989342806393,0.004166666666666667,-225.9
S278,86.2,12.4,373.87359374999994,0.14385150812064965,0.004166666666666667,-0.6
S279,56.8,17.8,166.14401041666667,0.31338028169014087,0.0125,19.3
S280,173.4,25.4,683.5680555555556,0.14648212226066898,0.0125,65.3
S281,13.8,7.2,0.6685937499999999,0.5217391304347826,0.004166666666666667,-0.1
S282,33706.2,33868.0,111.79164930555557,1.0048003038016744,0.9958333333333333,819.8
S283,25.8,6.0,2.9506770833333325,0.23255813953488372,0.004166666666666667,-9.9
S284,9103.0,9319.4,8.024930555555555,1.0237723827309677,1.0,-449.0
S285,1324.4,7.0,10237.422065972223,0.005285412262156448,0.004166666666666667,-816.9
S286,12.0,13.4,0.11998263888888887,1.1166666666666667,0.004166666666666667,0.2
S287,167.6,13.2,274.38638888888875,0.07875894988066826,0.0125,-137.6
S288,9.2,6.0,0.11222222222222224,0.6521739130434783,0.004166666666666667,-1.4
S289,238.8,8.0,2187.0799305555556,0.03350083752093802,0.004166666666666667,116.3
S290,597.2,6.2,6940.71484375,0.010381781647689216,0.0,231.1
S291,2693.2,1596.8,12896.124930555558,0.5929006386454775,0.49583333333333335,-149.5
S292,2212.4,1832.0,2273.811041666666,0.8280600253118785,0.36666666666666664,-245.8
S293,267.8,38.4,633.3970659722221,0.14339058999253174,0.008333333333333333,-208.3
S294,3646.2,3768.4,42.36456597222222,1.0335143437002907,0.9958333333333333,-43.2
S295,246.4,11.2,899.8649999999996,0.045454545454545456,0.0,-193.6
S296,13.4,12.4,0.13706597222222217,0.9253731343283582,0.004166666666666667,0.2
S297,977.8,6.2,15657.624930555552,0.006340764982614031,0.004166666666666667,399.2
S298,9.6,10.2,0.05401041666666665,1.0625,0.016666666666666666,-1.0
S299,225.6,12.4,412.27993055555567,0.0549645390070922,0.0,-184.6
S300,77.0,59.8,43.07159722222223,0.7766233766233767,0.03333333333333333,-54.7
S301,16.8,17.8,0.10373263888888887,1.0595238095238095,0.020833333333333332,3.1
S302,304.8,11.8,1001.4849826388889,0.03871391076115486,0.0,-215.1
S303,10.6,10.8,0.04581597222222222,1.0188679245283019,0.020833333333333332,-0.7
S304,68.4,31.2,183.38270833333334,0.45614035087719296,0.004166666666666667,-1.0
S305,5.0,5.6,0.05401041666666666,1.12,0.0,-0.4
S306,25136.0,25219.2,202.89555555555555,1.0033099936346277,1.0,-496.0
S307,20396.6,15639.2,702294.4998437499,0.766755243520979,0.22083333333333333,2490.3
S308,37255.6,27399.6,1301321.9222222224,0.7354491673734955,1.0,2102.4
S309,227.4,7.4,2512.409722222224,0.032541776605101144,0.0,109.9
S310,66.2,81.2,0.46484375,1.2265861027190332,0.058333333333333334,-1.9
S311,37.2,13.0,26.691649305555565,0.34946236559139787,0.004166666666666667,-6.7
S312,26.6,15.4,4.820555555555557,0.5789473684210527,0.004166666666666667,-7.3
S313,203.8,76.8,246.4870659722222,0.37684003925417076,0.06666666666666667,-92.3
S314,616.0,334.0,1758.209375,0.5422077922077922,0.475,-277.3
S315,88.0,6.4,663.8600000000001,0.07272727272727272,0.008333333333333333,80.8
S316,14.0,13.8,0.14581597222222217,0.9857142857142858,0.004166666666666667,0.1
S317,62.2,5.8,200.58604166666657,0.0932475884244373,0.0,-0.3
S318,59.8,69.2,0.7658159722222222,1.157190635451505,0.020833333333333332,17.3
S319,287.8,13.2,2461.6678993055552,0.04586518415566365,0.008333333333333333,133.7
S320,67.0,8.4,54.17206597222222,0.1253731343283582,0.004166666666666667,-51.4
S321,6.0,6.6,0.41234375000000006,1.1,0.008333333333333333,2.7
S322,37.2,13.6,33.70826388888889,0.3655913978494624,0.016666666666666666,10.3
S323,275.8,5.8,2481.034375,0.02102973168963017,0.004166666666666667,134.6
S324,67.8,84.8,0.3953993055555556,1.2507374631268438,0.058333333333333334,-2.0
S325,100.2,14.6,151.59472222222223,0.14570858283433133,0.008333333333333333,-69.3
S326,243.4,16.4,1703.880815972222,0.06737880032867707,0.0125,-153.6
S327,13.4,7.0,2.882222222222219,0.5223880597014925,0.0,-6.2
S328,11.2,6.6,0.48664930555555563,0.5892857142857143,0.008333333333333333,-0.1
S329,31270.0,31303.6,268.8266666666667,1.0010745123121203,1.0,-590.0
S330,34596.0,27330.4,1166436.9322222222,0.7899872817666782,1.0,-1460.0
S331,44.0,14.0,59.776041666666664,0.3181818181818182,0.0,-0.1
S332,76.8,61.0,60.58748263888891,0.7942708333333334,0.03333333333333333,-8.1
S333,305.8,35.6,2506.1916493055555,0.11641595814257685,0.004166666666666667,197.2
S334,442.4,29.6,1389.2400000000002,0.06690777576853527,0.041666666666666664,-336.3
S335,2394.4,10.0,85574.29437500001,0.00417641162712997,0.008333333333333333,1597.2
S336,25.6,28.8,0.7372222222222222,1.125,0.025,-5.1
S337,7.2,7.2,0.075,1.0,0.0,-0.6
S338,7634.4,6021.8,65264.615815972225,0.7887718746725348,0.30833333333333335,-245.7
S339,114.6,8.8,1036.9291493055557,0.07678883071553229,0.0,48.1
S340,34400.0,34285.2,2237.5632638888887,0.9966627906976744,1.0,2079.0
S341,287.2,12.6,2557.059565972222,0.04387186629526462,0.008333333333333333,36.2
S342,35.2,44.8,0.5016666666666666,1.2727272727272727,0.0625,-0.4
S343,600.4,5.6,4952.221597222222,0.009327115256495669,0.004166666666666667,377.3
S344,45.2,10.8,28.661388888888872,0.23893805309734514,0.008333333333333333,-29.6
S345,20.4,17.4,0.37526041666666665,0.8529411764705882,0.0125,-4.4
S346,4942.0,4648.0,4221.767708333334,0.9405099150141643,1.0,-159.0
S347,21.4,16.4,0.34331597222222227,0.7663551401869159,0.004166666666666667,-0.5
