budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
15000000,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 99, ""name"": ""Documentary""}]",http://www.u23dmovie.com/,37003,[],en,U2 3D,"A 3-D presentation of U2's global ""Vertigo"" tour. Shot at seven different shows, this production employs the greatest number of 3-D cameras ever used for a single project.",0.335195,"[{""name"": ""National Geographic Entertainment"", ""id"": 11522}, {""name"": ""3ality Digital Entertainment"", ""id"": 80711}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007/5/19,22730842,85,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hear See Experience,U2 3D,,
25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,12211,"[{""id"": 1014, ""name"": ""loss of lover""}, {""id"": 3095, ""name"": ""antiquary""}, {""id"": 3861, ""name"": ""loss of powers""}, {""id"": 4959, ""name"": ""death of a friend""}, {""id"": 4978, ""name"": ""immortality""}]",en,Highlander: Endgame,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",11.782725,"[{""name"": ""Davis-Panzer Productions"", ""id"": 2737}, {""name"": ""Dimension Films"", ""id"": 7405}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000/9/1,15843608,87,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""gd"", ""name"": """"}]",Released,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one.",Highlander: Endgame,,
0,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",,13816,"[{""id"": 165636, ""name"": ""mortician""}, {""id"": 165641, ""name"": ""tied to chair""}, {""id"": 165643, ""name"": ""song and dance""}, {""id"": 165646, ""name"": ""piano lesson""}, {""id"": 165647, ""name"": ""fisticuffs""}, {""id"": 165660, ""name"": ""talking to the dead""}, {""id"": 186370, ""name"": ""close-up""}]",en,Idlewild,"A musical set in the Prohibition-era American South, where a speakeasy performer and club manager Rooster must contend with gangsters who have their eyes on the club while his piano player and partner Percival must choose between his love, Angel or his obligations to his father.",2.711955,"[{""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Forensic Films"", ""id"": 2813}, {""name"": ""HBO Films"", ""id"": 7429}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006/8/25,0,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Idlewild,,
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.focusfeatures.com/one_day,51828,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 3485, ""name"": ""comedian""}, {""id"": 8438, ""name"": ""job""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10556, ""name"": ""male female relationship""}, {""id"": 10818, ""name"": ""author""}, {""id"": 13028, ""name"": ""writer""}, {""id"": 15160, ""name"": ""divorce""}, {""id"": 178329, ""name"": ""best friends in love""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 217405, ""name"": ""missed opportunity""}]",en,One Day,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",16.629173,"[{""name"": ""Film 4"", ""id"": 2335}, {""name"": ""Color Force"", ""id"": 5420}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011/3/2,59389433,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Twenty years. Two people.,One Day,,
15000000,"[{""id"": 18, ""name"": ""Drama""}]",,22798,"[{""id"": 6075, ""name"": ""sport""}, {""id"": 11282, ""name"": ""roller derby""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 187056, ""name"": ""woman director""}]",en,Whip It,"In Bodeen, Texas, Land Of The Dragon, an indie-rock loving misfit finds a way of dealing with her small-town misery after she discovers a roller derby league in nearby Austin.",20.05902,"[{""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Mandate Pictures"", ""id"": 771}, {""name"": ""Vincent Pictures"", ""id"": 8818}, {""name"": ""Barry Mendel Productions"", ""id"": 17032}, {""name"": ""Flower Films (II)"", ""id"": 19813}, {""name"": ""Rye Road Productions"", ""id"": 93521}, {""name"": ""Babe Ruthless Productions"", ""id"": 93522}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009/9/13,16633035,111,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Be Your Own Hero,Whip It,,
15000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.newline.com/properties/knockaroundguys.html,7501,"[{""id"": 680, ""name"": ""montana""}, {""id"": 798, ""name"": ""sheriff""}, {""id"": 7694, ""name"": ""pile of dead bodies""}, {""id"": 10594, ""name"": ""money""}, {""id"": 11578, ""name"": ""mobster""}]",en,Knockaround Guys,Four sons of well-known New York mobsters must retrieve a bag of cash from a small Montana town ruled by a corrupt sheriff.,8.113634,"[{""name"": ""Lawrence Bender Productions"", ""id"": 2253}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001/9/7,12000000,92,"[{""iso_639_1"": ""cs"", ""name"": ""\u010cesk\u00fd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"If they don't finish the job, their fathers will finish them.",Knockaround Guys,,
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,10743,"[{""id"": 159607, ""name"": ""grifter""}, {""id"": 159608, ""name"": ""con""}, {""id"": 159620, ""name"": ""big con""}, {""id"": 159627, ""name"": ""con game""}, {""id"": 159631, ""name"": ""premarital sex""}]",en,Confidence,"What Jake Vig doesn't know just might get him killed. A sharp and polished grifter, Jake has just swindled thousands of dollars from the unsuspecting Lionel Dolby with the help of his crew. It becomes clear that Lionel wasn't just any mark, he was an accountant for eccentric crime boss Winston King. Jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their debt.",9.87419,"[{""name"": ""Cinerenta Medienbeteiligungs KG"", ""id"": 995}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Ignite Entertainment"", ""id"": 4131}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003/4/25,0,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's not about the money. It's about the money.,Confidence,,
0,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",,37718,"[{""id"": 888, ""name"": ""screenwriter""}, {""id"": 9304, ""name"": ""muse""}]",en,The Muse,"What happens when a screenwriter (Brooks) loses his edge, he turns to anyone he can for help... even if it's the mythical ""Zeus's Daughter"" (Stone). And he's willing to pay, albeit reluctantly, whatever price it takes to satisfy this goddess, especially when her advice gets him going again on a sure-fire script. However, this is not the limit of her help, she also gets the writer's wife (MacDowell) going on her own bakery enterprise, much to the chagrin of Brooks, who has already had to make many personal sacrifices for his own help.",2.857936,"[{""name"": ""October Films"", ""id"": 236}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999/8/27,0,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,In Goddess we trust.,The Muse,,
20000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",,15237,"[{""id"": 4344, ""name"": ""musical""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 12396, ""name"": ""hollywood""}, {""id"": 163110, ""name"": ""theater""}]",en,De-Lovely,"From Paris to Venice to Broadway to Hollywood, the lives of Cole Porter and his wife, Linda were never less than glamorous and wildly unconventional. And though Cole's thirst for life strained their marriage, Linda never stopped being his muse, inspiring some of the greatest sons of the twentieth century.",3.138118,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Winkler Films"", ""id"": 8880}, {""name"": ""Potboiler Productions"", ""id"": 36615}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004/7/2,0,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,,De-Lovely,,
15000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,9686,"[{""id"": 242, ""name"": ""new york""}, {""id"": 456, ""name"": ""mother""}, {""id"": 612, ""name"": ""hotel""}, {""id"": 642, ""name"": ""robbery""}, {""id"": 931, ""name"": ""jealousy""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 2679, ""name"": ""artist""}, {""id"": 2861, ""name"": ""gallery""}, {""id"": 3487, ""name"": ""assistant""}, {""id"": 9706, ""name"": ""anthology""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 14828, ""name"": ""city""}, {""id"": 14893, ""name"": ""art""}, {""id"": 156174, ""name"": ""occult""}, {""id"": 157913, ""name"": ""young""}]",en,New York Stories,"Three stories happening in New York. The first, by Scorsese, is about a painter who creates his works helped by high volume music and an attractive assistant; second, by Coppola, is about a rich and bold 12 years old who helps her separated parents to reconciliate; third, by Allen, is a witty piece of comedy about the impossibility of getting rid of the son's role.",6.684096,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1989/3/10,0,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"One city, three stories tall.",New York Stories,,
0,"[{""id"": 10751, ""name"": ""Family""}]",,17644,[],en,Barney's Great Adventure,"Mom and dad dump son Cody, daughter Abby, her best friend Marcella and a baby on the farm with Grandpa and Grandma. Purple dinosaur Barney soon appears to entertain kids, and when a large colorful egg deposited on a farm by a shooting star is accidentally carted off, Barney and kids start their chase for it",0.722911,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""Lyrick Studios"", ""id"": 91005}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998/1/1,0,76,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Barney's Great Adventure,,
15000000,"[{""id"": 28, ""name"": ""Action""}]",,97430,"[{""id"": 1318, ""name"": ""blacksmith""}, {""id"": 1411, ""name"": ""brothel""}, {""id"": 9016, ""name"": ""femme fatale""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 15036, ""name"": ""ancient china""}, {""id"": 166735, ""name"": ""crossbow""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 185795, ""name"": ""lens flare""}, {""id"": 209094, ""name"": ""feudality""}]",en,The Man with the Iron Fists,"In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers.",17.672021,"[{""name"": ""Arcade Pictures"", ""id"": 11112}, {""name"": ""Iron Fists"", ""id"": 11113}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012/11/2,15608545,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You can't spell Kung Fu without F and U!,The Man with the Iron Fists,,
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,12257,"[{""id"": 828, ""name"": ""waitress""}, {""id"": 1326, ""name"": ""infidelity""}, {""id"": 3152, ""name"": ""planned murder""}, {""id"": 3725, ""name"": ""pregnancy and birth""}, {""id"": 3739, ""name"": ""funeral""}, {""id"": 4129, ""name"": ""widow""}, {""id"": 6746, ""name"": ""hamburger""}, {""id"": 7151, ""name"": ""junk food""}]",en,Home Fries,"Dorian and Angus chase down their womanizing stepfather with a helicopter, frightening him to death. In his effort to cover their tracks, Dorian begins investigating his stepfather's mistress, Sally. She works at a fast-food drive-through, she's pregnant and Dorian quickly falls in love with her. Unfortunately, his scheming mother wants Sally dead. And Sally isn't sure she wants Dorian to be her child's father and also his brother.",3.033471,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Baltimore Pictures"", ""id"": 11407}, {""name"": ""Kasdan Pictures"", ""id"": 13040}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998/11/25,10443316,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A long shot romance in a short order world.,Home Fries,,
0,"[{""id"": 10749, ""name"": ""Romance""}]",,13539,"[{""id"": 830, ""name"": ""car race""}, {""id"": 3551, ""name"": ""private school""}, {""id"": 10738, ""name"": ""diner""}]",en,Here On Earth,A rich college kid is taught a lesson after a joy ride ends up destroying a country restaurant.,3.313257,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Friendly Productions"", ""id"": 89439}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000/3/23,0,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Here On Earth,,
15000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,68,"[{""id"": 211, ""name"": ""bureaucracy""}, {""id"": 318, ""name"": ""police state""}, {""id"": 321, ""name"": ""terror""}, {""id"": 1025, ""name"": ""great britain""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6086, ""name"": ""government""}, {""id"": 236316, ""name"": ""anarchic comedy""}]",en,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",41.089863,"[{""name"": ""Embassy International Pictures"", ""id"": 10214}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1985/2/20,0,132,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's only a state of mind.,Brazil,,
